[0, 6, 6, 6, 6, 6, 10, 10][0, 2, 2, 2, 5, 5, 10, 10][0, 0, ' ', 2, 5, ' ', 9, 10][0, 8, 11, 2, 5, 5, 9, 9][8, 8, 11, 11, 11, 9, 9, 3][8, 1, ' ', 4, 11, ' ', 3, 3][8, 1, 4, 4, 4, 3, 3, 7][1, 1, 1, 4, 7, 7, 7, 7]
[0, 6, 6, 6, 6, 6, 10, 10][0, 2, 2, 2, 5, 5, 10, 10][0, 0, ' ', 2, 5, ' ', 9, 10][0, 8, 11, 2, 5, 5, 9, 9][8, 8, 11, 11, 11, 9, 9, 7][8, 1, ' ', 4, 11, ' ', 3, 7][8, 1, 4, 4, 4, 3, 3, 7][1, 1, 1, 4, 3, 3, 7, 7]
[0, 10, 10, 10, 3, 3, 9, 9][0, 10, 10, 3, 3, 9, 9, 6][0, 0, ' ', 3, 11, ' ', 9, 6][0, 4, 8, 8, 11, 11, 11, 6][4, 4, 4, 8, 8, 8, 11, 6][1, 4, ' ', 2, 5, ' ', 5, 6][1, 1, 1, 2, 5, 5, 5, 7][1, 2, 2, 2, 7, 7, 7, 7]
[0, 10, 10, 10, 3, 3, 9, 9][0, 10, 10, 3, 3, 9, 9, 6][0, 0, ' ', 3, 11, ' ', 9, 6][0, 4, 8, 8, 11, 11, 11, 6][4, 4, 4, 8, 8, 8, 11, 6][2, 4, ' ', 1, 5, ' ', 5, 6][2, 1, 1, 1, 5, 5, 5, 7][2, 2, 2, 1, 7, 7, 7, 7]
[0, 10, 10, 10, 4, 1, 1, 1][0, 10, 10, 4, 4, 4, 1, 2][0, 0, ' ', 8, 4, ' ', 1, 2][0, 3, 3, 8, 8, 2, 2, 2][3, 3, 11, 11, 8, 5, 5, 7][3, 9, ' ', 11, 8, ' ', 5, 7][9, 9, 9, 11, 11, 5, 5, 7][9, 6, 6, 6, 6, 6, 7, 7]
[0, 10, 10, 10, 4, 2, 2, 2][0, 10, 10, 4, 4, 4, 1, 2][0, 0, ' ', 8, 4, ' ', 1, 2][0, 3, 3, 8, 8, 1, 1, 1][3, 3, 11, 11, 8, 5, 5, 7][3, 9, ' ', 11, 8, ' ', 5, 7][9, 9, 9, 11, 11, 5, 5, 7][9, 6, 6, 6, 6, 6, 7, 7]
[0, 0, 0, 0, 1, 5, 5, 5][10, 0, 1, 1, 1, 5, 8, 5][10, 10, ' ', 4, 1, ' ', 8, 8][10, 10, 4, 4, 4, 11, 11, 8][2, 2, 2, 4, 3, 3, 11, 8][2, 9, ' ', 3, 3, ' ', 11, 11][2, 9, 9, 3, 7, 7, 7, 7][9, 9, 6, 6, 6, 6, 6, 7]
[0, 0, 0, 0, 11, 2, 2, 2][3, 0, 9, 9, 11, 11, 11, 2][3, 3, ' ', 9, 9, ' ', 11, 2][6, 3, 3, 9, 1, 5, 5, 5][6, 7, 1, 1, 1, 5, 8, 5][6, 7, ' ', 4, 1, ' ', 8, 8][6, 7, 4, 4, 4, 10, 10, 8][6, 7, 7, 4, 10, 10, 10, 8]
[1, 1, 1, 0, 0, 0, 0, 9][2, 1, 3, 3, 0, 9, 9, 9][2, 1, ' ', 3, 3, ' ', 9, 11][2, 2, 2, 4, 3, 11, 11, 11][10, 10, 4, 4, 4, 11, 7, 7][10, 10, ' ', 4, 5, ' ', 5, 7][10, 8, 8, 8, 5, 5, 5, 7][8, 8, 6, 6, 6, 6, 6, 7]
[1, 1, 1, 4, 3, 3, 7, 7][0, 1, 4, 4, 4, 3, 3, 7][0, 1, ' ', 4, 11, ' ', 3, 7][0, 0, 11, 11, 11, 9, 9, 7][0, 8, 11, 2, 5, 5, 9, 9][8, 8, ' ', 2, 5, ' ', 9, 10][8, 2, 2, 2, 5, 5, 10, 10][8, 6, 6, 6, 6, 6, 10, 10]
[1, 1, 1, 4, 3, 3, 7, 7][6, 1, 4, 4, 4, 3, 3, 7][6, 1, ' ', 4, 9, ' ', 3, 7][6, 0, 9, 9, 9, 10, 10, 7][6, 0, 0, 9, 8, 10, 10, 10][6, 0, ' ', 8, 8, ' ', 11, 2][5, 0, 5, 8, 11, 11, 11, 2][5, 5, 5, 8, 11, 2, 2, 2]
[1, 1, 1, 4, 7, 7, 7, 7][0, 1, 4, 4, 4, 3, 3, 7][0, 1, ' ', 4, 11, ' ', 3, 3][0, 0, 11, 11, 11, 9, 9, 3][0, 8, 11, 2, 5, 5, 9, 9][8, 8, ' ', 2, 5, ' ', 9, 10][8, 2, 2, 2, 5, 5, 10, 10][8, 6, 6, 6, 6, 6, 10, 10]
[1, 1, 1, 4, 7, 7, 7, 7][6, 1, 4, 4, 4, 3, 3, 7][6, 1, ' ', 4, 9, ' ', 3, 3][6, 0, 9, 9, 9, 10, 10, 3][6, 0, 0, 9, 8, 10, 10, 10][6, 0, ' ', 8, 8, ' ', 11, 2][5, 0, 5, 8, 11, 11, 11, 2][5, 5, 5, 8, 11, 2, 2, 2]
