[2, 2, 2, 2, 3, 1, 1, 10][8, 8, 2, 2, 3, 1, 10, 10][8, 8, 11, 11, 3, 1, 10, 5][8, 11, 11, 11, 9, 1, 10, 5][8, 7, 7, 7, 9, 1, 10, 5][8, 0, 0, 7, 9, 5, 5, 5][0, 0, 4, 7, 9, 9, 9, 6][0, 4, 4, 6, 6, 6, 6, 6]
[2, 2, 2, 2, 3, 1, 1, 10][8, 8, 2, 2, 3, 1, 10, 10][8, 8, 11, 11, 3, 1, 10, 9][8, 11, 11, 11, 5, 1, 10, 9][8, 7, 7, 7, 5, 1, 10, 9][8, 0, 0, 7, 5, 9, 9, 9][0, 0, 4, 7, 5, 5, 5, 6][0, 4, 4, 6, 6, 6, 6, 6]
[2, 2, 2, 2, 3, 5, 8, 8][1, 1, 2, 2, 3, 5, 8, 8][1, 7, 7, 7, 3, 5, 6, 8][1, 7, 10, 5, 5, 5, 6, 8][1, 7, 10, 10, 11, 11, 6, 8][1, 0, 0, 10, 11, 11, 6, 9][0, 0, 4, 10, 11, 6, 6, 9][0, 4, 4, 10, 9, 9, 9, 9]
[2, 2, 2, 2, 3, 8, 11, 11][0, 0, 2, 2, 3, 8, 11, 11][4, 0, 0, 7, 3, 8, 11, 10][4, 4, 0, 7, 8, 8, 10, 10][5, 7, 7, 7, 8, 8, 10, 9][5, 6, 6, 6, 6, 6, 10, 9][5, 5, 5, 5, 1, 6, 10, 9][1, 1, 1, 1, 1, 9, 9, 9]
[2, 2, 2, 2, 3, 8, 11, 11][0, 0, 2, 2, 3, 8, 11, 11][4, 0, 0, 7, 3, 8, 11, 10][4, 4, 0, 7, 8, 8, 10, 10][9, 7, 7, 7, 8, 8, 10, 5][9, 6, 6, 6, 6, 6, 10, 5][9, 9, 9, 9, 1, 6, 10, 5][1, 1, 1, 1, 1, 5, 5, 5]
[2, 2, 2, 2, 3, 9, 8, 8][1, 1, 2, 2, 3, 9, 8, 8][1, 7, 7, 7, 3, 9, 6, 8][1, 7, 10, 9, 9, 9, 6, 8][1, 7, 10, 10, 11, 11, 6, 8][1, 0, 0, 10, 11, 11, 6, 5][0, 0, 4, 10, 11, 6, 6, 5][0, 4, 4, 10, 5, 5, 5, 5]
[2, 2, 2, 2, 3, 10, 1, 1][8, 8, 2, 2, 3, 10, 10, 1][8, 8, 11, 11, 3, 5, 10, 1][8, 11, 11, 11, 9, 5, 10, 1][8, 7, 7, 7, 9, 5, 10, 1][8, 0, 0, 7, 9, 5, 5, 5][0, 0, 4, 7, 9, 9, 9, 6][0, 4, 4, 6, 6, 6, 6, 6]
[2, 2, 2, 2, 3, 10, 1, 1][8, 8, 2, 2, 3, 10, 10, 1][8, 8, 11, 11, 3, 9, 10, 1][8, 11, 11, 11, 5, 9, 10, 1][8, 7, 7, 7, 5, 9, 10, 1][8, 0, 0, 7, 5, 9, 9, 9][0, 0, 4, 7, 5, 5, 5, 6][0, 4, 4, 6, 6, 6, 6, 6]
[2, 2, 2, 2, 4, 4, 8, 8][1, 1, 2, 2, 10, 4, 8, 8][1, 7, 7, 7, 10, 10, 6, 8][1, 7, 11, 11, 5, 10, 6, 8][1, 7, 11, 11, 5, 10, 6, 8][1, 0, 0, 11, 5, 10, 6, 9][0, 0, 5, 5, 5, 6, 6, 9][0, 3, 3, 3, 9, 9, 9, 9]
[2, 2, 2, 2, 4, 4, 8, 8][1, 1, 2, 2, 10, 4, 8, 8][1, 7, 7, 7, 10, 10, 6, 8][1, 7, 11, 11, 9, 10, 6, 8][1, 7, 11, 11, 9, 10, 6, 8][1, 0, 0, 11, 9, 10, 6, 5][0, 0, 9, 9, 9, 6, 6, 5][0, 3, 3, 3, 5, 5, 5, 5]
[2, 2, 2, 2, 4, 7, 7, 7][1, 1, 2, 2, 4, 4, 10, 7][1, 5, 5, 5, 5, 10, 10, 7][1, 9, 9, 9, 5, 10, 6, 6][1, 11, 11, 9, 5, 10, 3, 6][1, 11, 11, 9, 0, 10, 3, 6][8, 8, 11, 9, 0, 0, 3, 6][8, 8, 8, 8, 8, 0, 0, 6]
[2, 2, 2, 2, 4, 7, 7, 7][1, 1, 2, 2, 4, 4, 10, 7][1, 9, 9, 9, 9, 10, 10, 7][1, 5, 5, 5, 9, 10, 6, 6][1, 11, 11, 5, 9, 10, 3, 6][1, 11, 11, 5, 0, 10, 3, 6][8, 8, 11, 5, 0, 0, 3, 6][8, 8, 8, 8, 8, 0, 0, 6]
[2, 2, 2, 2, 5, 0, 4, 4][1, 1, 2, 2, 5, 0, 0, 4][1, 5, 5, 5, 5, 10, 0, 0][1, 9, 9, 9, 9, 10, 10, 6][1, 9, 3, 7, 7, 7, 10, 6][1, 9, 3, 7, 11, 11, 10, 6][8, 8, 3, 7, 11, 11, 10, 6][8, 8, 8, 8, 8, 11, 6, 6]
