[0, 1, 1, 1, 4, 2, 2, 2][0, ' ', 1, 4, 4, 4, ' ', 2][0, 0, 1, 8, 4, 3, 3, 2][0, 7, 7, 8, 9, 9, 3, 3][10, 10, 7, 8, 8, 9, 9, 3][10, 10, 7, 11, 8, 9, 5, 5][10, ' ', 7, 11, 11, 11, ' ', 5][6, 6, 6, 6, 6, 11, 5, 5]
[0, 1, 1, 1, 4, 2, 2, 2][0, ' ', 1, 4, 4, 4, ' ', 2][0, 0, 1, 8, 4, 3, 3, 2][0, 11, 11, 8, 9, 9, 3, 3][10, 10, 11, 8, 8, 9, 9, 3][10, 10, 11, 11, 8, 9, 5, 5][10, ' ', 7, 7, 7, 7, ' ', 5][6, 6, 6, 6, 6, 7, 5, 5]
[0, 1, 1, 1, 4, 2, 2, 2][0, ' ', 1, 4, 4, 4, ' ', 2][0, 0, 1, 9, 4, 3, 3, 2][0, 9, 9, 9, 3, 3, 10, 10][7, 7, 9, 11, 3, 10, 10, 10][7, 8, 8, 11, 11, 11, 5, 5][7, ' ', 8, 8, 8, 11, ' ', 5][7, 6, 6, 6, 6, 6, 5, 5]
[0, 1, 1, 1, 4, 2, 2, 2][0, ' ', 1, 4, 4, 4, ' ', 2][0, 0, 1, 9, 4, 3, 3, 2][0, 9, 9, 9, 10, 10, 3, 3][7, 7, 9, 11, 10, 10, 10, 3][7, 8, 8, 11, 11, 11, 5, 5][7, ' ', 8, 8, 8, 11, ' ', 5][7, 6, 6, 6, 6, 6, 5, 5]
[0, 1, 1, 1, 4, 2, 2, 2][0, ' ', 1, 4, 4, 4, ' ', 2][0, 0, 1, 11, 4, 3, 3, 2][0, 11, 11, 11, 10, 10, 3, 3][7, 11, 9, 9, 10, 10, 8, 3][7, 9, 9, 5, 10, 5, 8, 8][7, ' ', 9, 5, 5, 5, ' ', 8][7, 7, 6, 6, 6, 6, 6, 8]
[0, 1, 1, 1, 4, 2, 2, 2][0, ' ', 1, 4, 4, 4, ' ', 2][0, 0, 1, 11, 4, 3, 3, 2][0, 8, 8, 11, 11, 11, 3, 3][7, 7, 8, 8, 8, 11, 9, 3][7, 5, 5, 10, 10, 9, 9, 9][7, ' ', 5, 10, 10, 10, ' ', 9][7, 5, 5, 6, 6, 6, 6, 6]
[0, 1, 1, 1, 7, 7, 7, 7][0, ' ', 1, 8, 7, 5, ' ', 5][0, 0, 1, 8, 8, 5, 5, 5][0, 4, 11, 11, 8, 10, 10, 6][4, 4, 4, 11, 8, 10, 10, 6][2, 4, 3, 11, 11, 9, 10, 6][2, ' ', 3, 3, 9, 9, ' ', 6][2, 2, 2, 3, 3, 9, 9, 6]
[0, 1, 1, 1, 7, 7, 7, 7][0, ' ', 1, 9, 7, 8, ' ', 6][0, 0, 1, 9, 9, 8, 8, 6][0, 4, 9, 9, 11, 11, 8, 6][4, 4, 4, 3, 3, 11, 8, 6][2, 4, 3, 3, 10, 11, 11, 6][2, ' ', 3, 10, 10, 5, ' ', 5][2, 2, 2, 10, 10, 5, 5, 5]
[0, 1, 1, 1, 7, 7, 7, 7][0, ' ', 1, 9, 7, 8, ' ', 6][0, 0, 1, 9, 9, 8, 8, 6][0, 4, 9, 9, 11, 11, 8, 6][4, 4, 4, 10, 10, 11, 8, 6][2, 4, 3, 10, 10, 11, 11, 6][2, ' ', 3, 3, 10, 5, ' ', 5][2, 2, 2, 3, 3, 5, 5, 5]
[0, 1, 1, 1, 7, 7, 7, 7][0, ' ', 1, 5, 5, 5, ' ', 7][0, 0, 1, 5, 9, 5, 10, 10][0, 8, 9, 9, 9, 10, 10, 10][8, 8, 4, 9, 11, 11, 3, 3][8, 4, 4, 4, 11, 3, 3, 2][8, ' ', 4, 11, 11, 3, ' ', 2][6, 6, 6, 6, 6, 2, 2, 2]
[0, 1, 1, 1, 7, 7, 7, 7][0, ' ', 1, 11, 11, 9, ' ', 7][0, 0, 1, 11, 9, 9, 9, 6][0, 4, 11, 11, 9, 5, 5, 6][4, 4, 4, 10, 10, 10, 5, 6][2, 4, 3, 10, 10, 5, 5, 6][2, ' ', 3, 3, 8, 8, ' ', 6][2, 2, 2, 3, 3, 8, 8, 8]
[0, 1, 1, 1, 8, 8, 8, 6][0, ' ', 1, 8, 8, 4, ' ', 6][0, 0, 1, 9, 4, 4, 4, 6][0, 5, 5, 9, 9, 4, 11, 6][7, 5, 9, 9, 11, 11, 11, 6][7, 5, 5, 10, 11, 3, 3, 2][7, ' ', 10, 10, 3, 3, ' ', 2][7, 7, 10, 10, 3, 2, 2, 2]
[0, 1, 1, 1, 8, 8, 8, 6][0, ' ', 1, 8, 8, 4, ' ', 6][0, 0, 1, 9, 4, 4, 4, 6][0, 10, 9, 9, 9, 4, 7, 6][10, 10, 9, 7, 7, 7, 7, 6][10, 10, 11, 11, 3, 2, 2, 2][5, ' ', 5, 11, 3, 3, ' ', 2][5, 5, 5, 11, 11, 3, 3, 2]
