[4, 7, 7, 7, 10, 11, 11, 9, 6, 6, 6, 6][4, 4, 7, 10, 10, 10, 11, 9, 9, 6, 5, 5][4, 4, 7, 1, 10, 11, 11, 3, 9, 9, 5, 8][1, 1, 1, 1, 2, 2, 3, 3, 3, 5, 5, 8][0, 0, 0, 0, 0, 2, 2, 2, 3, 8, 8, 8]
[8, 4, 4, 7, 7, 7, 10, 2, 2, 2, 11, 11][8, 4, 4, 4, 7, 10, 10, 10, 9, 2, 2, 11][8, 8, 8, 1, 7, 3, 10, 9, 9, 5, 11, 11][1, 1, 1, 1, 3, 3, 9, 9, 6, 5, 5, 5][0, 0, 0, 0, 0, 3, 3, 6, 6, 6, 6, 5]
[8, 8, 8, 7, 7, 7, 10, 2, 2, 2, 11, 11][8, 4, 4, 4, 7, 10, 10, 10, 9, 2, 2, 11][8, 4, 4, 1, 7, 3, 10, 9, 9, 5, 11, 11][1, 1, 1, 1, 3, 3, 9, 9, 6, 5, 5, 5][0, 0, 0, 0, 0, 3, 3, 6, 6, 6, 6, 5]
[6, 6, 6, 6, 10, 4, 4, 4, 7, 8, 8, 8][11, 6, 11, 10, 10, 10, 4, 4, 7, 5, 5, 8][11, 11, 11, 1, 10, 3, 9, 7, 7, 7, 5, 8][1, 1, 1, 1, 3, 3, 9, 9, 2, 2, 5, 5][0, 0, 0, 0, 0, 3, 3, 9, 9, 2, 2, 2]
[6, 6, 6, 6, 10, 7, 7, 7, 9, 9, 4, 4][11, 6, 11, 10, 10, 10, 7, 9, 9, 4, 4, 4][11, 11, 11, 1, 10, 3, 7, 9, 5, 8, 8, 8][1, 1, 1, 1, 3, 3, 2, 2, 5, 5, 5, 8][0, 0, 0, 0, 0, 3, 3, 2, 2, 2, 5, 8]
[11, 11, 3, 3, 10, 2, 2, 2, 6, 6, 6, 6][11, 3, 3, 10, 10, 10, 9, 2, 2, 6, 5, 5][11, 11, 3, 1, 10, 9, 9, 7, 7, 7, 5, 8][1, 1, 1, 1, 9, 9, 4, 4, 7, 5, 5, 8][0, 0, 0, 0, 0, 4, 4, 4, 7, 8, 8, 8]
[11, 11, 3, 3, 10, 6, 6, 6, 6, 2, 2, 2][11, 3, 3, 10, 10, 10, 9, 6, 2, 2, 5, 5][11, 11, 3, 1, 10, 9, 9, 7, 7, 7, 5, 8][1, 1, 1, 1, 9, 9, 4, 4, 7, 5, 5, 8][0, 0, 0, 0, 0, 4, 4, 4, 7, 8, 8, 8]
[11, 11, 10, 3, 3, 2, 2, 2, 6, 6, 6, 6][11, 10, 10, 10, 3, 3, 9, 2, 2, 6, 5, 5][11, 11, 10, 1, 3, 9, 9, 7, 7, 7, 5, 8][1, 1, 1, 1, 9, 9, 4, 4, 7, 5, 5, 8][0, 0, 0, 0, 0, 4, 4, 4, 7, 8, 8, 8]
[11, 11, 10, 3, 3, 6, 6, 6, 6, 2, 2, 2][11, 10, 10, 10, 3, 3, 9, 6, 2, 2, 5, 5][11, 11, 10, 1, 3, 9, 9, 7, 7, 7, 5, 8][1, 1, 1, 1, 9, 9, 4, 4, 7, 5, 5, 8][0, 0, 0, 0, 0, 4, 4, 4, 7, 8, 8, 8]
[11, 11, 10, 7, 7, 7, 4, 9, 6, 6, 6, 6][11, 10, 10, 10, 7, 4, 4, 9, 9, 6, 5, 5][11, 11, 10, 1, 7, 4, 4, 3, 9, 9, 5, 8][1, 1, 1, 1, 2, 2, 3, 3, 3, 5, 5, 8][0, 0, 0, 0, 0, 2, 2, 2, 3, 8, 8, 8]
[11, 11, 10, 7, 7, 7, 3, 6, 6, 6, 6, 4][11, 10, 10, 10, 7, 9, 3, 3, 3, 6, 4, 4][11, 11, 10, 1, 7, 9, 9, 3, 8, 5, 4, 4][1, 1, 1, 1, 2, 2, 9, 9, 8, 5, 5, 5][0, 0, 0, 0, 0, 2, 2, 2, 8, 8, 8, 5]
[11, 11, 10, 7, 7, 7, 9, 9, 3, 8, 8, 8][11, 10, 10, 10, 7, 9, 9, 3, 3, 5, 5, 8][11, 11, 10, 1, 7, 9, 4, 4, 3, 3, 5, 8][1, 1, 1, 1, 2, 2, 4, 4, 4, 6, 5, 5][0, 0, 0, 0, 0, 2, 2, 2, 6, 6, 6, 6]
[11, 11, 10, 7, 7, 7, 2, 2, 2, 8, 8, 8][11, 10, 10, 10, 7, 5, 5, 3, 2, 2, 9, 8][11, 11, 10, 1, 7, 5, 3, 3, 3, 9, 9, 8][1, 1, 1, 1, 5, 5, 3, 6, 9, 9, 4, 4][0, 0, 0, 0, 0, 6, 6, 6, 6, 4, 4, 4]
